data;1THB;1USD;1AUD;1HKD;1CAD;1NZD;1SGD;1EUR;100HUF;1CHF;1GBP;1UAH;100JPY;1CZK;1DKK;100ISK;1NOK;1SEK;1HRK;1RON;1BGN;1TRY;1ILS;100CLP;1PHP;1MXN;1ZAR;1BRL;1MYR;1RUB;10000IDR;100INR;100KRW;1CNY;1XDR;nr tabeli;pelny numer tabeli
20190812;0.1256;3.8711;2.6181;0.4934;2.9247;2.4980;2.7886;4.3262;1.3323;3.9746;4.6704;0.1538;3.6769;0.1673;0.5796;3.1463;0.4331;0.4036;0.5855;0.9153;2.2119;0.6958;1.1096;0.5451;0.0741;0.1969;0.2513;0.9825;0.9251;0.0591;2.7171;5.4312;0.3175;0.5480;5.3151;155;155/A/NBP/2019;
20190813;0.1256;3.8714;2.6191;0.4934;2.9207;2.4967;2.7881;4.3327;1.3367;3.9857;4.6714;0.1538;3.6765;0.1677;0.5805;3.1511;0.4335;0.4046;0.5861;0.9167;2.2153;0.6922;1.1079;0.5423;0.0739;0.1973;0.2523;0.9715;0.9225;0.0591;2.7030;5.4312;0.3167;0.5477;5.3253;156;156/A/NBP/2019;
20190814;0.1262;3.8890;2.6328;0.4956;2.9368;2.5054;2.8057;4.3463;1.3436;3.9924;4.6926;0.1536;3.6536;0.1683;0.5824;3.1291;0.4371;0.4066;0.5884;0.9205;2.2222;0.6964;1.1148;0.5526;0.0743;0.2003;0.2560;0.9811;0.9289;0.0595;2.7301;5.4520;0.3205;0.5541;5.3319;157;157/A/NBP/2019;
20190816;0.1272;3.9281;2.6653;0.5010;2.9542;2.5261;2.8308;4.3543;1.3399;4.0093;4.7713;0.1560;3.6953;0.1688;0.5837;3.1622;0.4356;0.4058;0.5894;0.9210;2.2263;0.7091;1.1090;0.5523;0.0749;0.2012;0.2588;0.9841;0.9394;0.0596;2.7595;5.5202;0.3244;0.5580;5.3673;158;158/A/NBP/2019;
20190819;0.1270;3.9199;2.6534;0.4998;2.9537;2.5129;2.8298;4.3519;1.3373;4.0071;4.7531;0.1556;3.6778;0.1689;0.5835;3.1650;0.4357;0.4056;0.5890;0.9203;2.2251;0.7011;1.1042;0.5535;0.0748;0.1987;0.2551;0.9791;0.9384;0.0586;2.7537;5.4844;0.3240;0.5576;5.3894;159;159/A/NBP/2019;
20190820;0.1279;3.9408;2.6706;0.5025;2.9570;2.5259;2.8427;4.3656;1.3339;4.0227;4.7654;0.1567;3.7023;0.1693;0.5854;3.1612;0.4386;0.4063;0.5913;0.9226;2.2321;0.6880;1.1159;0.5523;0.0753;0.1987;0.2560;0.9671;0.9422;0.0591;2.7634;5.4927;0.3260;0.5578;5.3952;160;160/A/NBP/2019;
20190821;0.1274;3.9210;2.6609;0.5000;2.9469;2.5109;2.8334;4.3513;1.3293;4.0014;4.7623;0.1557;3.6805;0.1687;0.5836;3.1508;0.4374;0.4058;0.5895;0.9201;2.2248;0.6859;1.1119;0.5528;0.0751;0.1990;0.2573;0.9674;0.9384;0.0592;2.7530;5.4878;0.3259;0.5550;5.3846;161;161/A/NBP/2019;
20190822;0.1278;3.9337;2.6623;0.5016;2.9589;2.5116;2.8384;4.3660;1.3324;4.0050;4.7784;0.1574;3.6973;0.1692;0.5856;3.1569;0.4392;0.4076;0.5915;0.9234;2.2323;0.6818;1.1169;0.5527;0.0752;0.1993;0.2585;0.9771;0.9398;0.0600;2.7634;5.4678;0.3256;0.5550;5.3934;162;162/A/NBP/2019;
20190823;0.1281;3.9371;2.6611;0.5021;2.9566;2.5132;2.8388;4.3572;1.3268;3.9876;4.8050;0.1569;3.6922;0.1691;0.5844;3.1460;0.4384;0.4067;0.5893;0.9228;2.2278;0.6828;1.1213;0.5506;0.0753;0.1991;0.2599;0.9675;0.9396;0.0600;2.7702;5.4967;0.3252;0.5560;5.3864;163;163/A/NBP/2019;
20190826;0.1286;3.9335;2.6588;0.5014;2.9587;2.5077;2.8354;4.3719;1.3279;4.0188;4.8149;0.1567;3.7140;0.1692;0.5863;3.1612;0.4385;0.4076;0.5914;0.9253;2.2353;0.6772;1.1175;0.5465;0.0750;0.1974;0.2574;0.9548;0.9358;0.0596;2.7623;5.4707;0.3239;0.5502;5.4132;164;164/A/NBP/2019;
20190827;0.1286;3.9309;2.6534;0.5011;2.9686;2.5039;2.8297;4.3684;1.3277;4.0101;4.8171;0.1562;3.7159;0.1694;0.5858;3.1495;0.4362;0.4076;0.5904;0.9225;2.2335;0.6726;1.1178;0.5462;0.0752;0.1965;0.2563;0.9461;0.9345;0.0593;2.7576;5.4807;0.3238;0.5483;5.3931;165;165/A/NBP/2019;
20190828;0.1291;3.9548;2.6672;0.5041;2.9729;2.5085;2.8471;4.3857;1.3294;4.0293;4.8213;0.1568;3.7392;0.1697;0.5880;3.1803;0.4385;0.4086;0.5925;0.9264;2.2423;0.6788;1.1217;0.5469;0.0756;0.1979;0.2585;0.9584;0.9387;0.0593;2.7743;5.5086;0.3255;0.5519;5.4183;166;166/A/NBP/2019;
20190829;0.1294;3.9586;2.6697;0.5045;2.9805;2.5094;2.8521;4.3845;1.3279;4.0252;4.8277;0.1570;3.7247;0.1696;0.5879;3.1795;0.4367;0.4070;0.5925;0.9275;2.2417;0.6794;1.1238;0.5471;0.0758;0.1961;0.2575;0.9495;0.9387;0.0593;2.7804;5.5141;0.3267;0.5538;5.4235;167;167/A/NBP/2019;
20190830;0.1298;3.9717;2.6685;0.5066;2.9857;2.5022;2.8621;4.3844;1.3241;4.0174;4.8340;0.1581;3.7325;0.1695;0.5880;3.1656;0.4366;0.4048;0.5923;0.9271;2.2417;0.6790;1.1249;0.5509;0.0763;0.1974;0.2606;0.9526;0.9423;0.0597;2.8000;5.5580;0.3286;0.5557;5.4243;168;168/A/NBP/2019;
20190902;0.1300;3.9819;2.6774;0.5078;2.9859;2.5121;2.8633;4.3691;1.3199;4.0192;4.8123;0.1574;3.7468;0.1685;0.5860;3.1546;0.4368;0.4058;0.5901;0.9245;2.2339;0.6853;1.1260;0.5517;0.0763;0.1982;0.2629;0.9605;0.9468;0.0598;2.8052;5.5337;0.3284;0.5553;5.4172;169;169/A/NBP/2019;
20190903;0.1300;3.9882;2.6822;0.5085;2.9879;2.5088;2.8638;4.3667;1.3188;4.0244;4.7823;0.1576;3.7605;0.1686;0.5856;3.1438;0.4363;0.4038;0.5895;0.9242;2.2326;0.6911;1.1263;0.5499;0.0763;0.1984;0.2626;0.9528;0.9445;0.0596;2.8037;5.5201;0.3282;0.5557;5.4142;170;170/A/NBP/2019;
20190904;0.1288;3.9414;2.6745;0.5029;2.9589;2.5045;2.8427;4.3385;1.3208;3.9966;4.7897;0.1561;3.7111;0.1681;0.5817;3.1145;0.4345;0.4036;0.5859;0.9177;2.2182;0.6957;1.1155;0.5435;0.0759;0.1992;0.2641;0.9459;0.9378;0.0593;2.7830;5.4762;0.3268;0.5509;5.4055;171;171/A/NBP/2019;
20190905;0.1287;3.9330;2.6790;0.5017;2.9801;2.5087;2.8410;4.3409;1.3174;4.0021;4.8248;0.1554;3.6909;0.1679;0.5819;3.1162;0.4368;0.4064;0.5864;0.9180;2.2194;0.6920;1.1190;0.5438;0.0758;0.1997;0.2664;0.9605;0.9380;0.0595;2.7795;5.4713;0.3277;0.5501;5.3887;172;172/A/NBP/2019;
20190906;0.1282;3.9315;2.6861;0.5016;2.9773;2.5196;2.8433;4.3392;1.3156;3.9753;4.8348;0.1570;3.6726;0.1679;0.5816;3.1150;0.4365;0.4068;0.5862;0.9169;2.2186;0.6895;1.1178;0.5494;0.0758;0.1998;0.2660;0.9571;0.9405;0.0596;2.7892;5.4881;0.3296;0.5520;5.3766;173;173/A/NBP/2019;
20190909;0.1283;3.9310;2.7001;0.5014;2.9873;2.5281;2.8488;4.3373;1.3145;3.9688;4.8405;0.1570;3.6744;0.1677;0.5813;3.1136;0.4391;0.4078;0.5862;0.9168;2.2176;0.6842;1.1138;0.5524;0.0758;0.2011;0.2661;0.9676;0.9403;0.0600;2.8017;5.4965;0.3297;0.5515;5.3850;174;174/A/NBP/2019;
20190910;0.1282;3.9273;2.6934;0.5008;2.9789;2.5214;2.8457;4.3350;1.3092;3.9620;4.8406;0.1576;3.6601;0.1676;0.5811;3.1165;0.4375;0.4028;0.5865;0.9162;2.2164;0.6806;1.1109;0.5493;0.0755;0.2004;0.2669;0.9592;0.9410;0.0600;2.7953;5.4631;0.3296;0.5525;5.3803;175;175/A/NBP/2019;
20190911;0.1285;3.9324;2.6996;0.5016;2.9902;2.5234;2.8502;4.3357;1.3049;3.9572;4.8601;0.1574;3.6491;0.1677;0.5811;3.1260;0.4382;0.4066;0.5864;0.9158;2.2168;0.6792;1.1091;0.5522;0.0754;0.2013;0.2675;0.9636;0.9409;0.0602;2.7969;5.4837;0.3293;0.5526;5.3780;176;176/A/NBP/2019;
20190912;0.1293;3.9362;2.7081;0.5028;2.9843;2.5339;2.8620;4.3400;1.3097;3.9738;4.8497;0.1588;3.6486;0.1677;0.5816;3.1336;0.4398;0.4077;0.5869;0.9163;2.2190;0.6852;1.1115;0.5498;0.0758;0.2019;0.2689;0.9676;0.9443;0.0604;2.8135;5.5181;0.3326;0.5552;5.3958;177;177/A/NBP/2019;
20190913;0.1286;3.9120;2.6901;0.5000;2.9576;2.5052;2.8484;4.3396;1.3043;3.9608;4.8705;0.1582;3.6227;0.1678;0.5812;3.1378;0.4369;0.4079;0.5870;0.9164;2.2188;0.6893;1.1108;0.5518;0.0752;0.2018;0.2687;0.9635;0.9391;0.0609;2.8013;5.4994;0.3322;0.5550;5.4180;178;178/A/NBP/2019;
20190916;0.1281;3.9116;2.6924;0.5001;2.9501;2.4982;2.8486;4.3262;1.3034;3.9500;4.8609;0.1578;3.6284;0.1673;0.5794;3.1372;0.4361;0.4058;0.5851;0.9132;2.2119;0.6859;1.1074;0.5529;0.0749;0.2011;0.2673;0.9577;0.9393;0.0610;2.7860;5.4748;0.3306;0.5537;5.3538;179;179/A/NBP/2019;
20190917;0.1290;3.9412;2.6945;0.5038;2.9748;2.4932;2.8626;4.3410;1.3020;3.9649;4.8882;0.1591;3.6428;0.1676;0.5813;3.1872;0.4394;0.4059;0.5871;0.9164;2.2195;0.6874;1.1074;0.5552;0.0754;0.2022;0.2666;0.9657;0.9422;0.0614;2.7961;5.4818;0.3312;0.5555;5.3951;180;180/A/NBP/2019;
20190918;0.1288;3.9322;2.6877;0.5023;2.9630;2.4896;2.8596;4.3419;1.3035;3.9499;4.8953;0.1594;3.6335;0.1677;0.5814;3.1786;0.4384;0.4044;0.5869;0.9168;2.2200;0.6914;1.1093;0.5499;0.0754;0.2029;0.2684;0.9643;0.9398;0.0610;2.7967;5.5223;0.3299;0.5547;5.3906;181;181/A/NBP/2019;
20190919;0.1287;3.9267;2.6680;0.5015;2.9560;2.4806;2.8506;4.3425;1.3053;3.9612;4.9062;0.1596;3.6354;0.1678;0.5815;3.1743;0.4396;0.4049;0.5870;0.9162;2.2203;0.6875;1.1127;0.5485;0.0753;0.2025;0.2679;0.9552;0.9366;0.0612;2.7928;5.5209;0.3290;0.5533;5.3837;182;182/A/NBP/2019;
20190920;0.1290;3.9319;2.6704;0.5020;2.9619;2.4684;2.8598;4.3438;1.3064;3.9668;4.9277;0.1608;3.6424;0.1677;0.5817;3.1707;0.4371;0.4061;0.5870;0.9160;2.2210;0.6898;1.1181;0.5490;0.0757;0.2024;0.2654;0.9432;0.9412;0.0616;2.7972;5.5303;0.3308;0.5547;5.3817;183;183/A/NBP/2019;
20190923;0.1311;3.9983;2.7061;0.5100;3.0067;2.5050;2.9007;4.3891;1.3105;4.0399;4.9721;0.1644;3.7242;0.1695;0.5878;3.1991;0.4394;0.4098;0.5929;0.9237;2.2441;0.6977;1.1354;0.5572;0.0766;0.2056;0.2676;0.9638;0.9569;0.0625;2.8387;5.6408;0.3338;0.5609;5.4549;184;184/A/NBP/2019;
20190924;0.1305;3.9838;2.7009;0.5081;3.0066;2.5066;2.8936;4.3796;1.3062;4.0219;4.9509;0.1646;3.7010;0.1694;0.5865;3.1921;0.4407;0.4096;0.5916;0.9224;2.2392;0.7011;1.1346;0.5522;0.0763;0.2047;0.2682;0.9570;0.9529;0.0626;2.8229;5.6206;0.3337;0.5606;5.4530;185;185/A/NBP/2019;
20190925;0.1304;3.9856;2.7013;0.5084;3.0052;2.5194;2.8926;4.3844;1.3110;4.0437;4.9552;0.1652;3.7134;0.1695;0.5874;3.1956;0.4414;0.4109;0.5919;0.9234;2.2417;0.6994;1.1401;0.5508;0.0763;0.2039;0.2659;0.9573;0.9512;0.0620;2.8167;5.6056;0.3323;0.5594;5.4590;186;186/A/NBP/2019;
20190926;0.1309;4.0092;2.7099;0.5115;3.0261;2.5259;2.9040;4.3861;1.3114;4.0352;4.9426;0.1658;3.7257;0.1701;0.5876;3.2346;0.4430;0.4116;0.5922;0.9242;2.2426;0.7070;1.1411;0.5514;0.0768;0.2050;0.2665;0.9664;0.9556;0.0624;2.8279;5.6496;0.3337;0.5622;5.4639;187;187/A/NBP/2019;
20190927;0.1311;4.0154;2.7153;0.5121;3.0287;2.5268;2.9055;4.3866;1.3057;4.0439;4.9332;0.1666;3.7209;0.1697;0.5875;3.2350;0.4423;0.4107;0.5922;0.9241;2.2428;0.7067;1.1528;0.5524;0.0773;0.2046;0.2659;0.9627;0.9588;0.0624;2.8347;5.6777;0.3350;0.5637;5.4729;188;188/A/NBP/2019;
20190930;0.1308;4.0000;2.7008;0.5103;3.0212;2.5051;2.8931;4.3736;1.3068;4.0278;4.9313;0.1655;3.7071;0.1693;0.5858;3.2469;0.4406;0.4077;0.5902;0.9207;2.2362;0.7081;1.1514;0.5507;0.0771;0.2031;0.2634;0.9615;0.9547;0.0618;2.8179;5.6539;0.3335;0.5602;5.4565;189;189/A/NBP/2019;
20191001;0.1309;4.0147;2.6891;0.5121;3.0255;2.4992;2.8953;4.3734;1.3063;4.0116;4.9322;0.1637;3.7033;0.1697;0.5858;3.2372;0.4396;0.4056;0.5899;0.9214;2.2361;0.7072;1.1535;0.5509;0.0773;0.2029;0.2636;0.9659;0.9571;0.0617;2.8248;5.6511;0.3341;0.5611;5.4755;190;190/A/NBP/2019;
20191002;0.1310;4.0152;2.6833;0.5121;3.0327;2.4995;2.8979;4.3788;1.3079;4.0167;4.9101;0.1613;3.7298;0.1701;0.5865;3.2316;0.4384;0.4050;0.5907;0.9220;2.2388;0.6977;1.1517;0.5506;0.0772;0.2022;0.2611;0.9658;0.9576;0.0613;2.8286;5.6344;0.3331;0.5618;5.4726;191;191/A/NBP/2019;
20191003;0.1297;3.9652;2.6645;0.5056;2.9760;2.4938;2.8691;4.3475;1.3040;3.9694;4.8832;0.1597;3.7024;0.1687;0.5824;3.2038;0.4340;0.4009;0.5863;0.9158;2.2228;0.6953;1.1362;0.5473;0.0765;0.2009;0.2613;0.9605;0.9469;0.0609;2.7978;5.5809;0.3294;0.5578;5.4235;192;192/A/NBP/2019;
20191004;0.1296;3.9469;2.6669;0.5033;2.9621;2.4973;2.8617;4.3311;1.3027;3.9588;4.8659;0.1603;3.6958;0.1685;0.5801;3.1917;0.4329;0.4008;0.5839;0.9122;2.2144;0.6929;1.1340;0.5507;0.0762;0.2016;0.2603;0.9663;0.9432;0.0608;2.7921;5.5591;0.3299;0.5557;5.4012;193;193/A/NBP/2019;
20191007;0.1296;3.9498;2.6595;0.5035;2.9639;2.4847;2.8569;4.3304;1.3002;3.9727;4.8574;0.1586;3.6957;0.1681;0.5799;3.1865;0.4326;0.3993;0.5836;0.9120;2.2141;0.6872;1.1308;0.5524;0.0761;0.2017;0.2605;0.9738;0.9414;0.0608;2.7889;5.5625;0.3298;0.5556;5.3948;194;194/A/NBP/2019;
20191008;0.1297;3.9405;2.6617;0.5024;2.9633;2.4917;2.8562;4.3310;1.2967;3.9714;4.8359;0.1593;3.6772;0.1679;0.5799;3.1729;0.4318;0.3987;0.5836;0.9122;2.2144;0.6774;1.1261;0.5482;0.0761;0.2017;0.2601;0.9596;0.9402;0.0607;2.7839;5.5508;0.3298;0.5526;5.3857;195;195/A/NBP/2019;
20191009;0.1298;3.9382;2.6547;0.5021;2.9597;2.4870;2.8520;4.3257;1.2939;3.9643;4.8208;0.1595;3.6711;0.1677;0.5791;3.1505;0.4300;0.3965;0.5827;0.9105;2.2117;0.6736;1.1243;0.5428;0.0761;0.2011;0.2587;0.9618;0.9382;0.0605;2.7792;5.5383;0.3285;0.5520;5.3793;196;196/A/NBP/2019;
20191010;0.1289;3.9226;2.6490;0.5002;2.9477;2.4797;2.8459;4.3217;1.2954;3.9538;4.7971;0.1596;3.6519;0.1671;0.5786;3.1385;0.4292;0.3977;0.5821;0.9096;2.2096;0.6672;1.1199;0.5419;0.0759;0.2010;0.2594;0.9545;0.9353;0.0605;2.7718;5.5173;0.3283;0.5504;5.3748;197;197/A/NBP/2019;
20191011;0.1289;3.9145;2.6589;0.4993;2.9487;2.4808;2.8487;4.3097;1.2986;3.9192;4.8929;0.1592;3.6246;0.1668;0.5770;3.1298;0.4299;0.3985;0.5803;0.9055;2.2035;0.6695;1.1151;0.5444;0.0759;0.2016;0.2622;0.9524;0.9348;0.0610;2.7708;5.5147;0.3304;0.5514;5.3444;198;198/A/NBP/2019;
20191014;0.1282;3.8958;2.6356;0.4966;2.9499;2.4539;2.8450;4.2969;1.2962;3.9104;4.8998;0.1580;3.5984;0.1665;0.5753;3.1205;0.4274;0.3958;0.5784;0.9041;2.1969;0.6583;1.1108;0.5484;0.0755;0.2017;0.2632;0.9487;0.9307;0.0606;2.7554;5.4832;0.3290;0.5513;5.3329;199;199/A/NBP/2019;
20191015;0.1283;3.8952;2.6358;0.4966;2.9434;2.4474;2.8422;4.2949;1.2929;3.9000;4.9282;0.1569;3.5953;0.1663;0.5750;3.1055;0.4263;0.3965;0.5775;0.9037;2.1959;0.6577;1.1070;0.5460;0.0754;0.2020;0.2631;0.9442;0.9293;0.0606;2.7499;5.4518;0.3285;0.5504;5.3304;200;200/A/NBP/2019;
20191016;0.1280;3.8934;2.6255;0.4963;2.9463;2.4425;2.8368;4.2970;1.2920;3.9041;4.9610;0.1567;3.5813;0.1667;0.5751;3.1070;0.4245;0.3975;0.5781;0.9041;2.1970;0.6613;1.1012;0.5439;0.0755;0.2021;0.2601;0.9315;0.9283;0.0605;2.7479;5.4423;0.3275;0.5482;5.3512;201;201/A/NBP/2019;
20191017;0.1274;3.8638;2.6292;0.4926;2.9324;2.4415;2.8274;4.2849;1.2878;3.8902;4.9456;0.1563;3.5506;0.1665;0.5735;3.0983;0.4209;0.3960;0.5761;0.9013;2.1908;0.6558;1.0910;0.5390;0.0753;0.2015;0.2604;0.9310;0.9234;0.0604;2.7310;5.4226;0.3276;0.5475;5.3293;202;202/A/NBP/2019;
20191018;0.1272;3.8503;2.6326;0.4910;2.9316;2.4533;2.8196;4.2844;1.2946;3.8969;4.9671;0.1539;3.5420;0.1669;0.5735;3.0934;0.4189;0.3975;0.5757;0.9010;2.1906;0.6660;1.0898;0.5410;0.0751;0.2008;0.2610;0.9250;0.9199;0.0602;2.7221;5.4127;0.3262;0.5436;5.3054;203;203/A/NBP/2019;
20191021;0.1266;3.8307;2.6337;0.4885;2.9207;2.4530;2.8145;4.2775;1.2946;3.8899;4.9709;0.1530;3.5265;0.1670;0.5725;3.0751;0.4196;0.3979;0.5752;0.8988;2.1870;0.6569;1.0851;0.5390;0.0750;0.2004;0.2593;0.9316;0.9162;0.0601;2.7210;5.4081;0.3271;0.5419;5.2854;204;204/A/NBP/2019;
20191022;0.1267;3.8408;2.6355;0.4897;2.9357;2.4646;2.8197;4.2792;1.2961;3.8851;4.9700;0.1546;3.5380;0.1673;0.5728;3.0719;0.4206;0.3985;0.5755;0.8989;2.1879;0.6576;1.0852;0.5289;0.0750;0.2010;0.2612;0.9304;0.9172;0.0603;2.7357;5.4164;0.3273;0.5423;5.2826;205;205/A/NBP/2019;
20191023;0.1269;3.8473;2.6322;0.4906;2.9375;2.4629;2.8226;4.2778;1.3004;3.8887;4.9449;0.1545;3.5500;0.1672;0.5726;3.0798;0.4199;0.3990;0.5750;0.8987;2.1872;0.6652;1.0874;0.5310;0.0754;0.2008;0.2623;0.9430;0.9188;0.0602;2.7422;5.4256;0.3284;0.5439;5.2967;206;206/A/NBP/2019;
20191024;0.1270;3.8448;2.6258;0.4905;2.9393;2.4577;2.8208;4.2800;1.2995;3.8816;4.9551;0.1532;3.5370;0.1671;0.5729;3.0858;0.4218;0.4005;0.5752;0.9007;2.1883;0.6694;1.0921;0.5292;0.0749;0.2013;0.2629;0.9530;0.9183;0.0602;2.7347;5.4133;0.3277;0.5448;5.2954;207;207/A/NBP/2019;
20191025;0.1274;3.8452;2.6269;0.4906;2.9435;2.4498;2.8213;4.2762;1.2994;3.8799;4.9362;0.1529;3.5412;0.1671;0.5724;3.0920;0.4197;0.3980;0.5738;0.8992;2.1864;0.6653;1.0868;0.5306;0.0751;0.2011;0.2625;0.9516;0.9186;0.0601;2.7397;5.4205;0.3277;0.5439;5.2917;208;208/A/NBP/2019;
20191028;0.1276;3.8529;2.6307;0.4915;2.9500;2.4488;2.8284;4.2732;1.3001;3.8701;4.9504;0.1536;3.5446;0.1673;0.5720;3.0898;0.4190;0.3976;0.5733;0.8984;2.1848;0.6729;1.0917;0.5300;0.0753;0.2022;0.2645;0.9625;0.9204;0.0605;2.7471;5.4443;0.3294;0.5452;5.2942;209;209/A/NBP/2019;
20191029;0.1278;3.8598;2.6427;0.4923;2.9546;2.4483;2.8306;4.2757;1.3011;3.8763;4.9487;0.1540;3.5455;0.1672;0.5723;3.0916;0.4176;0.3967;0.5735;0.8989;2.1861;0.6725;1.0918;0.5334;0.0756;0.2018;0.2640;0.9673;0.9227;0.0603;2.7521;5.4450;0.3307;0.5465;5.3045;210;210/A/NBP/2019;
20191030;0.1270;3.8388;2.6386;0.4896;2.9344;2.4396;2.8177;4.2655;1.2934;3.8693;4.9472;0.1535;3.5264;0.1671;0.5710;3.0887;0.4157;0.3945;0.5717;0.8966;2.1809;0.6688;1.0885;0.5273;0.0754;0.2008;0.2623;0.9602;0.9184;0.0601;2.7367;5.4127;0.3291;0.5440;5.2859;211;211/A/NBP/2019;
20191031;0.1264;3.8174;2.6308;0.4872;2.8976;2.4416;2.8027;4.2617;1.2921;3.8681;4.9405;0.1541;3.5247;0.1671;0.5705;3.0860;0.4151;0.3956;0.5716;0.8957;2.1790;0.6691;1.0832;0.5163;0.0751;0.1993;0.2517;0.9573;0.9136;0.0597;2.7195;5.3752;0.3267;0.5417;5.2827;212;212/A/NBP/2019;
20191104;0.1261;3.8099;2.6341;0.4861;2.8969;2.4561;2.8074;4.2539;1.2970;3.8567;4.9229;0.1536;3.5156;0.1667;0.5694;3.0848;0.4198;0.3989;0.5710;0.8949;2.1750;0.6694;1.0812;0.5143;0.0754;0.2000;0.2578;0.9550;0.9176;0.0602;2.7184;5.3857;0.3284;0.5422;5.2702;213;213/A/NBP/2019;
20191105;0.1269;3.8308;2.6527;0.4890;2.9198;2.4624;2.8249;4.2631;1.2954;3.8669;4.9399;0.1550;3.5189;0.1670;0.5706;3.0914;0.4201;0.3991;0.5728;0.8970;2.1797;0.6666;1.0928;0.5166;0.0760;0.2004;0.2604;0.9546;0.9273;0.0605;2.7423;5.4221;0.3316;0.5478;5.2716;214;214/A/NBP/2019;
20191106;0.1270;3.8497;2.6564;0.4918;2.9254;2.4563;2.8333;4.2697;1.2883;3.8778;4.9607;0.1563;3.5332;0.1673;0.5715;3.1007;0.4199;0.3999;0.5740;0.8967;2.1830;0.6694;1.1011;0.5147;0.0760;0.2001;0.2593;0.9640;0.9307;0.0604;2.7468;5.4201;0.3322;0.5500;5.2967;215;215/A/NBP/2019;
20191107;0.1269;3.8502;2.6583;0.4921;2.9249;2.4575;2.8379;4.2653;1.2824;3.8767;4.9548;0.1571;3.5303;0.1672;0.5708;3.0975;0.4226;0.4010;0.5740;0.8956;2.1808;0.6695;1.1046;0.5202;0.0764;0.2017;0.2614;0.9428;0.9336;0.0605;2.7513;5.4294;0.3338;0.5519;5.2934;216;216/A/NBP/2019;
20191108;0.1272;3.8625;2.6533;0.4935;2.9263;2.4520;2.8406;4.2638;1.2780;3.8797;4.9476;0.1577;3.5324;0.1669;0.5706;3.0964;0.4221;0.3991;0.5739;0.8956;2.1800;0.6713;1.1053;0.5206;0.0764;0.2012;0.2603;0.9419;0.9344;0.0605;2.7562;5.4185;0.3337;0.5523;5.2969;217;217/A/NBP/2019;
20191112;0.1279;3.8780;2.6533;0.4956;2.9256;2.4556;2.8489;4.2788;1.2794;3.8992;4.9782;0.1584;3.5521;0.1677;0.5726;3.1073;0.4239;0.3998;0.5749;0.8982;2.1877;0.6719;1.1060;0.5108;0.0763;0.2028;0.2613;0.9336;0.9359;0.0606;2.7585;5.4124;0.3337;0.5535;5.3231;218;218/A/NBP/2019;
20191113;0.1286;3.8902;2.6556;0.4968;2.9323;2.4874;2.8545;4.2850;1.2793;3.9299;4.9991;0.1600;3.5719;0.1677;0.5735;3.1118;0.4223;0.3991;0.5754;0.8994;2.1909;0.6759;1.1093;0.4984;0.0764;0.2007;0.2594;0.9331;0.9366;0.0604;2.7627;5.4011;0.3326;0.5541;5.3412;219;219/A/NBP/2019;
20191114;0.1291;3.9011;2.6505;0.4984;2.9410;2.4945;2.8626;4.2916;1.2859;3.9501;5.0130;0.1609;3.5920;0.1680;0.5743;3.1166;0.4244;0.4013;0.5768;0.9005;2.1943;0.6756;1.1179;0.4909;0.0768;0.2011;0.2624;0.9356;0.9383;0.0608;2.7697;5.4160;0.3332;0.5556;5.3525;220;220/A/NBP/2019;
20191115;0.1285;3.8848;2.6370;0.4964;2.9333;2.4788;2.8527;4.2807;1.2793;3.9206;5.0014;0.1605;3.5744;0.1673;0.5729;3.1499;0.4245;0.4015;0.5753;0.8976;2.1887;0.6743;1.1159;0.4835;0.0767;0.2014;0.2627;0.9259;0.9354;0.0608;2.7605;5.4128;0.3333;0.5541;5.3415;221;221/A/NBP/2019;
20191118;0.1282;3.8767;2.6410;0.4952;2.9331;2.4826;2.8496;4.2884;1.2787;3.9133;5.0257;0.1606;3.5565;0.1675;0.5739;3.1556;0.4262;0.4024;0.5766;0.8981;2.1927;0.6761;1.1175;0.5155;0.0765;0.2016;0.2626;0.9239;0.9329;0.0607;2.7540;5.4003;0.3327;0.5528;5.3421;222;222/A/NBP/2019;
20191119;0.1284;3.8786;2.6420;0.4954;2.9374;2.4851;2.8500;4.2928;1.2818;3.9113;5.0238;0.1602;3.5654;0.1680;0.5745;3.1495;0.4253;0.4029;0.5768;0.8992;2.1949;0.6791;1.1202;0.4995;0.0762;0.2013;0.2632;0.9195;0.9329;0.0609;2.7527;5.3981;0.3323;0.5522;5.3391;223;223/A/NBP/2019;
20191120;0.1285;3.8792;2.6421;0.4958;2.9172;2.4915;2.8494;4.2917;1.2878;3.9126;5.0081;0.1604;3.5775;0.1681;0.5743;3.1580;0.4222;0.4000;0.5767;0.8980;2.1943;0.6796;1.1186;0.4926;0.0762;0.1997;0.2616;0.9251;0.9313;0.0606;2.7522;5.4001;0.3316;0.5513;5.3326;224;224/A/NBP/2019;
20191121;0.1283;3.8737;2.6357;0.4952;2.9109;2.4898;2.8449;4.2948;1.2868;3.9113;5.0144;0.1603;3.5693;0.1684;0.5747;3.1603;0.4253;0.4033;0.5774;0.8983;2.1959;0.6801;1.1203;0.4897;0.0762;0.1993;0.2630;0.9231;0.9291;0.0607;2.7498;5.3975;0.3291;0.5506;5.3406;225;225/A/NBP/2019;
