data;1THB;1USD;1AUD;1HKD;1CAD;1NZD;1SGD;1EUR;100HUF;1CHF;1GBP;1UAH;100JPY;1CZK;1DKK;100ISK;1NOK;1SEK;1HRK;1RON;1BGN;1TRY;1ILS;100CLP;1PHP;1MXN;1ZAR;1BRL;1MYR;1RUB;10000IDR;100INR;100KRW;1CNY;1XDR;nr tabeli;pelny numer tabeli;
20220721;0,1265;4,6682;3,2062;0,5949;3,6169;2,8927;3,3480;4,7578;1,1848;4,8008;5,5738;0,1467;3,3667;0,1936;0,6391;3,4057;0,4683;0,4561;0,6331;0,9631;2,4326;0,2641;1,3548;0,5033;0,0828;0,2272;0,2708;0,8531;1,0474;;3,1054;5,8374;0,3559;0,6898;6,1411;140;140/A/NBP/2022;
20220722;0,1278;4,6920;3,2449;0,5978;3,6445;2,9249;3,3734;4,7643;1,1990;4,8479;5,6103;0,1277;3,4093;0,1942;0,6400;3,4153;0,4693;0,4572;0,6332;0,9653;2,4359;0,2647;1,3614;0,5052;0,0835;0,2270;0,2756;0,8533;1,0533;;3,1247;5,8739;0,3575;0,6933;6,1441;141;141/A/NBP/2022;
20220725;0,1259;4,6171;3,2031;0,5882;3,5805;2,8872;3,3327;4,7196;1,1906;4,7917;5,5525;0,1256;3,3846;0,1924;0,6340;3,3832;0,4662;0,4538;0,6272;0,9574;2,4131;0,2590;1,3447;0,4847;0,0825;0,2250;0,2757;0,8396;1,0363;;3,0784;5,7885;0,3519;0,6837;6,0924;142;142/A/NBP/2022;
20220726;0,1260;4,6222;3,2157;0,5889;3,6019;2,8893;3,3345;4,7183;1,1823;4,7943;5,5621;0,1262;3,3850;0,1919;0,6338;3,3823;0,4713;0,4521;0,6275;0,9564;2,4124;0,2587;1,3471;0,4933;0,0834;0,2262;0,2763;0,8627;1,0373;;3,0821;5,7976;0,3535;0,6841;6,0839;143;143/A/NBP/2022;
20220727;0,1281;4,7142;3,2719;0,6006;3,6675;2,9374;3,3962;4,7811;1,1830;4,9039;5,6850;0,1280;3,4461;0,1944;0,6423;3,4372;0,4806;0,4577;0,6363;0,9690;2,4445;0,2636;1,3750;0,5097;0,0847;0,2311;0,2797;0,8809;1,0567;;3,1403;5,8999;0,3588;0,6978;6,2135;144;144/A/NBP/2022;
20220728;0,1284;4,6952;3,2882;0,5981;3,6681;2,9530;3,4002;4,7973;1,1792;4,9040;5,7220;0,1273;3,4699;0,1951;0,6445;3,4538;0,4843;0,4595;0,6382;0,9720;2,4528;0,2619;1,3741;0,5158;0,0841;0,2306;0,2814;0,8953;1,0547;;3,1443;5,8825;0,3606;0,6961;6,2224;145;145/A/NBP/2022;
20220729;0,1281;4,6365;3,2446;0,5908;3,6181;2,9225;3,3628;4,7399;1,1727;4,8682;5,6434;0,1258;3,4868;0,1927;0,6367;3,4223;0,4785;0,4558;0,6303;0,9605;2,4234;0,2591;1,3638;0,5102;0,0840;0,2293;0,2804;0,8945;1,0419;;3,1265;5,8504;0,3564;0,6884;6,1668;146;146/A/NBP/2022;
20220801;0,1285;4,6290;3,2525;0,5897;3,6206;2,9272;3,3615;4,7475;1,1772;4,8730;5,6612;0,1258;3,4969;0,1927;0,6377;3,4229;0,4785;0,4565;0,6316;0,9629;2,4273;0,2579;1,3684;0,5137;0,0835;0,2282;0,2807;0,8943;1,0395;;3,1125;5,8554;0,3555;0,6854;6,1618;147;147/A/NBP/2022;
20220802;0,1272;4,5984;3,1824;0,5858;3,5758;2,8872;3,3318;4,7092;1,1839;4,8322;5,6062;0,1258;3,5135;0,1911;0,6325;3,3952;0,4743;0,4526;0,6263;0,9557;2,4078;0,2561;1,3629;0,5157;0,0828;0,2251;0,2784;0,8868;1,0321;;3,0880;5,8470;0,3517;0,6802;6,0965;148;148/A/NBP/2022;
20220803;0,1274;4,6164;3,1991;0,5881;3,5904;2,8890;3,3419;4,7032;1,1867;4,8127;5,6221;0,1258;3,4658;0,1908;0,6319;3,3763;0,4751;0,4515;0,6258;0,9545;2,4047;0,2572;1,3719;0,5074;0,0829;0,2233;0,2761;0,8744;1,0358;;3,0957;5,8456;0,3520;0,6836;6,0911;149;149/A/NBP/2022;
20220804;0,1286;4,6340;3,2311;0,5904;3,6066;2,9204;3,3600;4,7230;1,1914;4,8226;5,6374;0,1258;3,4505;0,1917;0,6346;3,3905;0,4773;0,4549;0,6284;0,9586;2,4148;0,2579;1,3824;0,5083;0,0833;0,2265;0,2761;0,8770;1,0395;;3,1033;5,8087;0,3537;0,6860;6,1204;150;150/A/NBP/2022;
20220805;0,1294;4,6024;3,1991;0,5863;3,5726;2,8976;3,3443;4,7053;1,1917;4,8153;5,5889;0,1258;3,4581;0,1912;0,6323;3,3924;0,4719;0,4535;0,6261;0,9552;2,4058;0,2564;1,3799;0,5100;0,0833;0,2264;0,2769;0,8830;1,0329;;3,0904;5,8136;0,3546;0,6818;6,1018;151;151/A/NBP/2022;
20220808;0,1289;4,6127;3,2101;0,5876;3,5734;2,8878;3,3427;4,7013;1,1975;4,8137;5,5752;0,1258;3,4135;0,1916;0,6319;3,3701;0,4725;0,4528;0,6258;0,9546;2,4037;0,2568;1,3851;0,5024;0,0830;0,2262;0,2762;0,8931;1,0343;;3,1005;5,7955;0,3534;0,6821;6,0768;152;152/A/NBP/2022;
20220809;0,1298;4,5919;3,2069;0,5850;3,5732;2,8887;3,3334;4,7021;1,1906;4,8239;5,5646;0,1258;3,4039;0,1919;0,6319;3,3515;0,4735;0,4530;0,6260;0,9586;2,4041;0,2557;1,3892;0,5069;0,0826;0,2273;0,2769;0,8984;1,0305;;3,0917;5,7730;0,3518;0,6800;6,0823;153;153/A/NBP/2022;
20220810;0,1297;4,6112;3,2164;0,5877;3,5838;2,9094;3,3476;4,7138;1,1747;4,8454;5,5775;0,1258;3,4159;0,1929;0,6335;3,3646;0,4768;0,4540;0,6274;0,9593;2,4101;0,2570;1,3946;0,5102;0,0829;0,2282;0,2789;0,8998;1,0346;;3,1006;5,7984;0,3519;0,6825;6,0831;154;154/A/NBP/2022;
20220811;0,1286;4,5206;3,2126;0,5762;3,5426;2,9059;3,3026;4,6745;1,1852;4,8134;5,5339;0,1258;3,4109;0,1923;0,6283;3,3365;0,4759;0,4511;0,6221;0,9521;2,3900;0,2517;1,3856;0,5093;0,0816;0,2261;0,2787;0,8873;1,0170;;3,0612;5,6887;0,3474;0,6709;6,0241;155;155/A/NBP/2022;
20220812;0,1287;4,5459;3,2362;0,5801;3,5637;2,9308;3,3180;4,6832;1,1913;4,8318;5,5357;0,1258;3,4119;0,1924;0,6295;3,3428;0,4780;0,4494;0,6233;0,9579;2,3945;0,2531;1,3977;0,5137;0,0817;0,2281;0,2808;0,8811;1,0229;;3,0993;5,7046;0,3485;0,6747;6,0149;156;156/A/NBP/2022;
20220816;0,1307;4,6282;3,2442;0,5901;3,5869;2,9331;3,3548;4,6928;1,1615;4,8784;5,5711;0,1258;3,4558;0,1912;0,6310;3,3448;0,4763;0,4461;0,6250;0,9603;2,3994;0,2578;1,4114;0,5253;0,0829;0,2334;0,2813;0,9080;1,0363;;3,1341;5,8305;0,3529;0,6816;6,0778;157;157/A/NBP/2022;
20220817;0,1302;4,6119;3,2137;0,5881;3,5813;2,9108;3,3391;4,6921;1,1537;4,8500;5,5818;0,1258;3,4209;0,1910;0,6309;3,3443;0,4766;0,4450;0,6252;0,9601;2,3990;0,2570;1,4175;0,5232;0,0826;0,2311;0,2796;0,8963;1,0322;;3,1230;5,8044;0,3510;0,6806;6,0940;158;158/A/NBP/2022;
20220818;0,1303;4,6468;3,2236;0,5925;3,5994;2,9124;3,3612;4,7244;1,1666;4,8733;5,5983;0,1258;3,4368;0,1921;0,6351;3,3626;0,4787;0,4459;0,6291;0,9674;2,4155;0,2586;1,4325;0,5177;0,0832;0,2322;0,2781;0,8994;1,0386;;3,1328;5,8315;0,3511;0,6842;6,1258;159;159/A/NBP/2022;
20220819;0,1320;4,7061;3,2517;0,5999;3,6271;2,9306;3,3917;4,7480;1,1671;4,9159;5,5981;0,1258;3,4483;0,1928;0,6383;3,3794;0,4820;0,4465;0,6317;0,9729;2,4276;0,2600;1,4425;0,5062;0,0841;0,2331;0,2787;0,9105;1,0513;;3,1718;5,8981;0,3545;0,6913;6,1435;160;160/A/NBP/2022;
20220822;0,1315;4,7427;3,2764;0,6045;3,6495;2,9408;3,4004;4,7493;1,1705;4,9444;5,6022;0,1258;3,4635;0,1927;0,6386;3,3707;0,4841;0,4459;0,6323;0,9722;2,4283;0,2617;1,4418;0,5021;0,0844;0,2345;0,2781;0,9172;1,0574;;3,1857;5,9382;0,3528;0,6936;6,1838;161;161/A/NBP/2022;
20220823;0,1329;4,8030;3,3066;0,6122;3,6896;2,9710;3,4412;4,7706;1,1613;4,9696;5,6567;0,1258;3,5005;0,1934;0,6415;3,4051;0,4908;0,4496;0,6355;0,9767;2,4391;0,2650;1,4662;0,5121;0,0857;0,2395;0,2821;0,9313;1,0701;;3,2371;6,0148;0,3582;0,7013;6,2307;162;162/A/NBP/2022;
20220824;0,1333;4,8029;3,3247;0,6122;3,7051;2,9786;3,4465;4,7772;1,1618;4,9916;5,6784;0,1258;3,5198;0,1938;0,6422;3,4147;0,4949;0,4508;0,6360;0,9780;2,4425;0,2648;1,4656;0,5239;0,0857;0,2408;0,2817;0,9408;1,0708;;3,2348;6,0203;0,3577;0,6998;6,2669;163;163/A/NBP/2022;
20220825;0,1327;4,7546;3,3216;0,6061;3,6857;2,9708;3,4233;4,7584;1,1660;4,9415;5,6312;0,1258;3,4842;0,1930;0,6398;3,3916;0,4947;0,4507;0,6334;0,9761;2,4329;0,2617;1,4534;0,5160;0,0849;0,2396;0,2826;0,9302;1,0629;;3,2077;5,9533;0,3564;0,6941;6,2376;164;164/A/NBP/2022;
20220826;0,1319;4,7465;3,3055;0,6049;3,6653;2,9419;3,4136;4,7413;1,1594;4,9196;5,6007;0,1258;3,4667;0,1923;0,6375;3,3794;0,4906;0,4480;0,6311;0,9727;2,4242;0,2610;1,4578;0,5283;0,0847;0,2382;0,2823;0,9288;1,0621;;3,2033;5,9444;0,3562;0,6917;6,2087;165;165/A/NBP/2022;
20220829;0,1311;4,7821;3,2757;0,6094;3,6575;2,9197;3,4173;4,7529;1,1570;4,9342;5,5752;0,1258;3,4479;0,1933;0,6390;3,3780;0,4865;0,4467;0,6328;0,9757;2,4301;0,2631;1,4412;0,5354;0,0851;0,2379;0,2825;0,9449;1,0651;;3,2101;5,9810;0,3540;0,6911;6,2052;166;166/A/NBP/2022;
20220830;0,1298;4,7210;3,2815;0,6016;3,6385;2,9223;3,3834;4,7328;1,1622;4,8679;5,5413;0,1258;3,4140;0,1925;0,6363;3,3353;0,4867;0,4443;0,6302;0,9725;2,4198;0,2597;1,4262;0,5350;0,0840;0,2371;0,2814;0,9388;1,0540;;3,1807;5,9360;0,3505;0,6838;6,1705;167;167/A/NBP/2022;
20220831;0,1298;4,7360;3,2542;0,6035;3,6134;2,9026;3,3853;4,7265;1,1675;4,8467;5,5126;0,1258;3,4173;0,1928;0,6354;3,3356;0,4779;0,4425;0,6292;0,9724;2,4166;0,2604;1,4212;0,5319;0,0843;0,2347;0,2780;0,9244;1,0582;;3,1908;5,9532;0,3527;0,6864;6,1435;168;168/A/NBP/2022;
20220901;0,1279;4,6959;3,2071;0,5985;3,5598;2,8665;3,3584;4,7133;1,1747;4,8112;5,4464;0,1258;3,3730;0,1926;0,6338;3,3263;0,4686;0,4389;0,6271;0,9712;2,4098;0,2582;1,3987;0,5235;0,0830;0,2324;0,2734;0,9060;1,0478;;3,1553;5,9088;0,3469;0,6809;6,1336;169;169/A/NBP/2022;
20220902;0,1287;4,7276;3,2170;0,6024;3,5978;2,8773;3,3712;4,7144;1,1820;4,8237;5,4622;0,1258;3,3684;0,1927;0,6340;3,3317;0,4721;0,4386;0,6267;0,9749;2,4105;0,2595;1,3988;0,5270;0,0832;0,2344;0,2729;0,9018;1,0542;;3,1732;5,9264;0,3467;0,6843;6,1353;170;170/A/NBP/2022;
20220905;0,1301;4,7690;3,2321;0,6076;3,6224;2,9023;3,3916;4,7263;1,1702;4,8487;5,4798;0,1258;3,3930;0,1922;0,6356;3,3167;0,4758;0,4397;0,6283;0,9805;2,4165;0,2617;1,3980;0,5427;0,0837;0,2381;0,2753;0,9232;1,0614;;3,2000;5,9686;0,3475;0,6870;6,1493;171;171/A/NBP/2022;
20220906;0,1297;4,7367;3,2071;0,6035;3,6103;2,8778;3,3729;4,7168;1,1695;4,8311;5,4821;0,1258;3,3429;0,1920;0,6343;3,3100;0,4767;0,4411;0,6276;0,9768;2,4116;0,2600;1,3882;0,5372;0,0829;0,2372;0,2764;0,9188;1,0526;;3,1819;5,9316;0,3444;0,6813;6,1370;172;172/A/NBP/2022;
20220907;0,1296;4,7584;3,2002;0,6062;3,6113;2,8701;3,3817;4,7137;1,1743;4,8413;5,4696;0,1258;3,3025;0,1914;0,6339;3,3312;0,4749;0,4406;0,6276;0,9707;2,4101;0,2609;1,3877;0,5329;0,0832;0,2370;0,2742;0,9066;1,0573;;3,1898;5,9563;0,3435;0,6820;6,1501;173;173/A/NBP/2022;
20220908;0,1298;4,7268;3,1814;0,6019;3,5975;2,8556;3,3612;4,7244;1,1881;4,8438;5,4322;0,1258;3,2806;0,1922;0,6353;3,3578;0,4721;0,4412;0,6287;0,9701;2,4155;0,2591;1,3813;0,5347;0,0828;0,2362;0,2725;0,9006;1,0502;;3,1729;5,9275;0,3419;0,6791;6,1696;174;174/A/NBP/2022;
20220909;0,1284;4,6599;3,2031;0,5937;3,5871;2,8643;3,3376;4,7098;1,1907;4,8693;5,4185;0,1258;3,2827;0,1920;0,6333;3,3617;0,4732;0,4427;0,6263;0,9623;2,4081;0,2555;1,3643;0,5282;0,0820;0,2345;0,2699;0,8936;1,0362;;3,1422;5,8593;0,3390;0,6736;6,1044;175;175/A/NBP/2022;
20220912;0,1273;4,6225;3,1819;0,5890;3,5609;2,8427;3,3133;4,7113;1,1920;4,8428;5,4044;0,1258;3,2395;0,1918;0,6335;3,3485;0,4724;0,4425;0,6263;0,9606;2,4088;0,2536;1,3660;0,5105;0,0814;0,2359;0,2706;0,8980;1,0266;;3,1145;5,8120;0,3359;0,6674;6,1059;176;176/A/NBP/2022;
20220913;0,1279;4,6363;3,1980;0,5908;3,5732;2,8469;3,3248;4,7082;1,1879;4,8752;5,4311;0,1258;3,2593;0,1920;0,6331;3,3510;0,4714;0,4437;0,6256;0,9572;2,4072;0,2542;1,3829;0,5161;0,0816;0,2343;0,2726;0,9102;1,0285;;3,1218;5,8568;0,3371;0,6690;6,0493;177;177/A/NBP/2022;
20220914;0,1289;4,7233;3,1786;0,6019;3,5880;2,8319;3,3654;4,7195;1,1735;4,9174;5,4504;0,1258;3,2953;0,1923;0,6346;3,3735;0,4689;0,4434;0,6276;0,9584;2,4131;0,2588;1,3785;0,5148;0,0828;0,2364;0,2716;0,9100;1,0435;;3,1687;5,9497;0,3392;0,6786;6,0613;178;178/A/NBP/2022;
20220915;0,1284;4,7202;3,1877;0,6015;3,5870;2,8366;3,3588;4,7164;1,1631;4,9137;5,4412;0,1258;3,2906;0,1923;0,6342;3,3858;0,4679;0,4412;0,6269;0,9573;2,4115;0,2584;1,3789;0,5128;0,0825;0,2364;0,2700;0,9139;1,0407;;3,1681;5,9243;0,3383;0,6765;6,1253;179;179/A/NBP/2022;
20220916;0,1278;4,7384;3,1631;0,6038;3,5660;2,8206;3,3596;4,7176;1,1643;4,9134;5,3882;0,1258;3,3054;0,1925;0,6344;3,4111;0,4619;0,4387;0,6269;0,9578;2,4121;0,2593;1,3741;0,5130;0,0826;0,2356;0,2676;0,9030;1,0449;;3,1690;5,9404;0,3398;0,6746;6,1137;180;180/A/NBP/2022;
20220919;0,1278;4,7255;3,1553;0,6020;3,5481;2,8108;3,3497;4,7142;1,1758;4,8864;5,3711;0,1258;3,2936;0,1925;0,6339;3,3745;0,4598;0,4366;0,6267;0,9574;2,4103;0,2583;1,3685;0,5123;0,0824;0,2349;0,2660;0,8993;1,0385;;3,1549;5,9278;0,3388;0,6733;6,1292;181;181/A/NBP/2022;
20220920;0,1276;4,7118;3,1605;0,6004;3,5469;2,7878;3,3440;4,7165;1,1825;4,8772;5,3866;0,1258;3,2799;0,1922;0,6342;3,3427;0,4600;0,4360;0,6273;0,9566;2,4115;0,2576;1,3694;0,5106;0,0818;0,2361;0,2665;0,9109;1,0337;;3,1449;5,9109;0,3383;0,6719;6,1098;182;182/A/NBP/2022;
20220921;0,1289;4,7919;3,1936;0,6105;3,5796;2,8202;3,3895;4,7449;1,1771;4,9687;5,4289;0,1258;3,3328;0,1924;0,6381;3,3772;0,4632;0,4351;0,6308;0,9595;2,4260;0,2616;1,3861;0,5135;0,0827;0,2395;0,2703;0,9317;1,0523;;3,1951;5,9926;0,3435;0,6796;6,1534;183;183/A/NBP/2022;
20220922;0,1296;4,8343;3,2148;0,6159;3,5961;2,8384;3,4107;4,7758;1,1763;4,9621;5,4750;0,1258;3,4021;0,1936;0,6422;3,4040;0,4691;0,4393;0,6348;0,9664;2,4418;0,2634;1,3954;0,5161;0,0829;0,2432;0,2744;0,9347;1,0585;;3,2191;5,9939;0,3434;0,6834;6,2195;184;184/A/NBP/2022;
20220923;0,1304;4,8796;3,2120;0,6216;3,6066;2,8310;3,4269;4,7591;1,1720;4,9701;5,4530;0,1258;3,4151;0,1930;0,6400;3,3969;0,4656;0,4367;0,6326;0,9625;2,4333;0,2652;1,3977;0,5164;0,0832;0,2436;0,2740;0,9535;1,0660;;3,2450;6,0274;0,3457;0,6856;6,2023;185;185/A/NBP/2022;
20220926;0,1300;4,9113;3,2028;0,6257;3,6140;2,8175;3,4257;4,7566;1,1700;4,9846;5,2822;0,1258;3,4146;0,1932;0,6396;3,4097;0,4612;0,4359;0,6321;0,9623;2,4320;0,2661;1,4013;0,5060;0,0832;0,2430;0,2726;0,9337;1,0674;;3,2466;6,0199;0,3434;0,6866;6,2418;186;186/A/NBP/2022;
20220927;0,1304;4,9476;3,2096;0,6303;3,6123;2,8206;3,4469;4,7616;1,1686;5,0135;5,3465;0,1258;3,4266;0,1932;0,6403;3,4330;0,4603;0,4385;0,6325;0,9633;2,4345;0,2678;1,4028;0,4977;0,0838;0,2434;0,2752;0,9177;1,0730;;3,2715;6,0624;0,3478;0,6903;6,2790;187;187/A/NBP/2022;
20220928;0,1314;5,0381;3,2183;0,6419;3,6519;2,8197;3,4801;4,8147;1,1707;5,0710;5,3856;0,1258;3,4813;0,1951;0,6474;3,4514;0,4606;0,4400;0,6394;0,9732;2,4617;0,2723;1,4256;0,5115;0,0852;0,2457;0,2778;0,9367;1,0891;;3,3015;6,1493;0,3491;0,6952;6,3498;188;188/A/NBP/2022;
20220929;0,1316;5,0328;3,2469;0,6412;3,6645;2,8515;3,4879;4,8637;1,1582;5,1200;5,4331;0,1258;3,4759;0,1971;0,6540;3,4716;0,4644;0,4439;0,6460;0,9828;2,4867;0,2714;1,4178;0,5262;0,0854;0,2490;0,2795;0,9361;1,0829;;3,2975;6,1416;0,3500;0,6992;6,4418;189;189/A/NBP/2022;
20220930;0,1312;4,9533;3,2245;0,6309;3,6224;2,8352;3,4614;4,8698;1,1556;5,0714;5,5560;0,1258;3,4325;0,1980;0,6549;3,4710;0,4640;0,4465;0,6470;0,9838;2,4899;0,2671;1,3941;0,5137;0,0844;0,2466;0,2765;0,9171;1,0683;;3,2510;6,0883;0,3460;0,6979;6,4015;190;190/A/NBP/2022;
20221003;0,1293;4,9207;3,1732;0,6267;3,5782;2,7830;3,4306;4,8272;1,1423;4,9806;5,5155;0,1258;3,3920;0,1965;0,6491;3,4163;0,4546;0,4432;0,6414;0,9755;2,4681;0,2651;1,3691;0,5083;0,0833;0,2445;0,2728;0,9086;1,0589;;3,2156;6,0095;0,3417;0,6914;6,3380;191;191/A/NBP/2022;
20221004;0,1295;4,8615;3,1616;0,6193;3,5705;2,7879;3,3988;4,8007;1,1503;4,9215;5,5320;0,1258;3,3587;0,1956;0,6456;3,3832;0,4604;0,4453;0,6382;0,9702;2,4545;0,2618;1,3804;0,5169;0,0828;0,2431;0,2735;0,9412;1,0466;;3,1884;5,9577;0,3405;0,6831;6,2968;192;192/A/NBP/2022;
20221005;0,1295;4,8380;3,1361;0,6164;3,5668;2,7750;3,4014;4,8128;1,1393;4,9299;5,5269;0,1258;3,3512;0,1961;0,6470;3,3917;0,4593;0,4439;0,6398;0,9745;2,4607;0,2605;1,3659;0,5193;0,0826;0,2414;0,2728;0,9345;1,0450;;3,1844;5,9460;0,3416;0,6799;6,2676;193;193/A/NBP/2022;
20221006;0,1313;4,8989;3,1742;0,6242;3,5879;2,8047;3,4402;4,8445;1,1437;4,9874;5,5303;0,1258;3,3867;0,1978;0,6512;3,4431;0,4641;0,4459;0,6437;0,9814;2,4769;0,2636;1,3840;0,5211;0,0834;0,2442;0,2746;0,9427;1,0564;;3,2256;5,9823;0,3489;0,6885;6,3030;194;194/A/NBP/2022;
20221007;0,1326;4,9588;3,1817;0,6317;3,6132;2,8035;3,4707;4,8606;1,1470;5,0065;5,5505;0,1258;3,4237;0,1982;0,6534;3,4843;0,4630;0,4459;0,6459;0,9837;2,4852;0,2668;1,4068;0,5253;0,0842;0,2474;0,2754;0,9496;1,0668;;3,2511;6,0220;0,3512;0,6968;6,3456;195;195/A/NBP/2022;
20221010;0,1324;5,0239;3,1655;0,6400;3,6548;2,8070;3,4955;4,8677;1,1410;5,0372;5,5542;0,1258;3,4528;0,1986;0,6544;3,4646;0,4696;0,4437;0,6467;0,9857;2,4888;0,2704;1,4085;0,5355;0,0851;0,2495;0,2758;0,9663;1,0805;;3,2813;6,0975;0,3515;0,7033;6,3723;196;196/A/NBP/2022;
20221011;0,1313;5,0171;3,1456;0,6392;3,6253;2,7947;3,4856;4,8711;1,1385;5,0179;5,5410;0,1258;3,4437;0,1986;0,6548;3,4620;0,4675;0,4435;0,6471;0,9868;2,4905;0,2700;1,4032;0,5348;0,0851;0,2512;0,2767;0,9670;1,0736;;3,2669;6,0906;0,3497;0,6988;6,3767;197;197/A/NBP/2022;
20221012;0,1316;5,0014;3,1311;0,6372;3,6266;2,7977;3,4803;4,8536;1,1291;5,0231;5,5205;0,1258;3,4190;0,1975;0,6524;3,4447;0,4658;0,4406;0,6448;0,9824;2,4816;0,2691;1,4031;0,5392;0,0849;0,2489;0,2748;0,9448;1,0681;;3,2566;6,0748;0,3508;0,6979;6,3721;198;198/A/NBP/2022;
20221013;0,1317;4,9905;3,1359;0,6356;3,6139;2,8036;3,4784;4,8468;1,1196;4,9964;5,5395;0,1258;3,3983;0,1973;0,6515;3,4595;0,4661;0,4399;0,6435;0,9806;2,4781;0,2684;1,3958;0,5284;0,0847;0,2499;0,2722;0,9428;1,0637;;3,2487;6,0566;0,3486;0,6941;6,3713;199;199/A/NBP/2022;
20221014;0,1297;4,9569;3,1215;0,6314;3,5952;2,7923;3,4811;4,8330;1,1517;4,9526;5,5886;0,1258;3,3561;0,1965;0,6498;3,4350;0,4682;0,4390;0,6415;0,9792;2,4710;0,2667;1,3957;0,5285;0,0840;0,2477;0,2721;0,9422;1,0540;;3,2133;6,0137;0,3457;0,6891;6,3340;200;200/A/NBP/2022;
20221017;0,1295;4,9522;3,0915;0,6309;3,5814;2,7700;3,4705;4,8229;1,1507;4,9392;5,5801;0,1258;3,3302;0,1961;0,6484;3,4327;0,4666;0,4386;0,6409;0,9768;2,4659;0,2665;1,4012;0,5148;0,0840;0,2471;0,2722;0,9293;1,0497;;3,1975;6,0115;0,3447;0,6875;6,3357;201;201/A/NBP/2022;
20221018;0,1284;4,8929;3,0725;0,6233;3,5583;2,7708;3,4442;4,8092;1,1661;4,9091;5,5256;0,1258;3,2774;0,1957;0,6465;3,4084;0,4624;0,4406;0,6389;0,9743;2,4589;0,2632;1,3848;0,5035;0,0831;0,2447;0,2708;0,9265;1,0377;;3,1635;5,9443;0,3435;0,6796;6,3039;202;202/A/NBP/2022;
20221019;0,1280;4,8892;3,0790;0,6228;3,5513;2,7791;3,4354;4,7997;1,1626;4,8899;5,5061;0,1258;3,2721;0,1954;0,6452;3,3920;0,4623;0,4386;0,6373;0,9727;2,4540;0,2630;1,3806;0,5024;0,0829;0,2440;0,2691;0,9329;1,0350;;3,1547;5,9130;0,3426;0,6771;6,2406;203;203/A/NBP/2022;
20221020;0,1281;4,9024;3,0766;0,6246;3,5616;2,7749;3,4375;4,7955;1,1628;4,8717;5,4837;0,1258;3,2695;0,1953;0,6446;3,3987;0,4618;0,4370;0,6365;0,9740;2,4519;0,2638;1,3810;0,5032;0,0832;0,2438;0,2677;0,9301;1,0367;;3,1481;5,9155;0,3426;0,6774;6,2590;204;204/A/NBP/2022;
20221021;0,1277;4,9000;3,0633;0,6242;3,5448;2,7656;3,4290;4,7804;1,1569;4,8520;5,4537;0,1258;3,2463;0,1950;0,6427;3,3880;0,4592;0,4327;0,6345;0,9723;2,4442;0,2635;1,3747;0,5008;0,0833;0,2446;0,2663;0,9391;1,0342;;3,1345;5,9228;0,3397;0,6759;6,2216;205;205/A/NBP/2022;
20221024;0,1278;4,8669;3,0643;0,6200;3,5444;2,7748;3,4225;4,7866;1,1595;4,8612;5,5126;0,1258;3,2593;0,1955;0,6435;3,3685;0,4588;0,4326;0,6354;0,9741;2,4473;0,2616;1,3719;0,5003;0,0827;0,2438;0,2658;0,9422;1,0271;;3,1221;5,8778;0,3371;0,6702;6,2611;206;206/A/NBP/2022;
20221025;0,1267;4,8499;3,0655;0,6178;3,5350;2,7613;3,4047;4,7805;1,1586;4,8359;5,4898;0,1258;3,2577;0,1952;0,6427;3,3547;0,4604;0,4353;0,6347;0,9752;2,4442;0,2606;1,3653;0,4915;0,0825;0,2438;0,2629;0,9138;1,0243;;3,1044;5,8589;0,3373;0,6635;6,1980;207;207/A/NBP/2022;
20221026;0,1262;4,7538;3,0861;0,6056;3,5162;2,7631;3,3817;4,7723;1,1622;4,8203;5,5146;0,1258;3,2340;0,1945;0,6416;3,3396;0,4612;0,4367;0,6336;0,9762;2,4400;0,2555;1,3599;0,4913;0,0814;0,2397;0,2643;0,8941;1,0076;;3,0533;5,7668;0,3351;0,6627;6,1847;208;208/A/NBP/2022;
20221027;0,1251;4,7216;3,0542;0,6018;3,4775;2,7516;3,3567;4,7504;1,1651;4,7798;5,4728;0,1258;3,2351;0,1936;0,6387;3,3150;0,4616;0,4346;0,6307;0,9734;2,4288;0,2537;1,3465;0,4964;0,0811;0,2367;0,2621;0,8768;1,0015;;3,0333;5,7350;0,3328;0,6534;6,1168;209;209/A/NBP/2022;
20221028;0,1254;4,7477;3,0465;0,6049;3,4891;2,7555;3,3597;4,7199;1,1455;4,7705;5,4733;0,1258;3,2197;0,1927;0,6342;3,2937;0,4593;0,4309;0,6267;0,9612;2,4132;0,2550;1,3385;0,5031;0,0818;0,2393;0,2621;0,8889;1,0053;;3,0529;5,7578;0,3329;0,6543;6,0681;210;210/A/NBP/2022;
20221031;0,1243;4,7340;3,0316;0,6031;3,4700;2,7530;3,3471;4,7089;1,1457;4,7376;5,4748;0,1258;3,1897;0,1922;0,6326;3,2860;0,4581;0,4313;0,6252;0,9580;2,4076;0,2543;1,3393;0,5018;0,0815;0,2384;0,2589;0,8938;1,0013;;3,0351;5,7170;0,3315;0,6487;6,0827;211;211/A/NBP/2022;
20221102;0,1264;4,7485;3,0526;0,6050;3,4930;2,7954;3,3645;4,7039;1,1520;4,7656;5,4601;0,1258;3,2269;0,1921;0,6319;3,2780;0,4597;0,4314;0,6244;0,9579;2,4050;0,2550;1,3427;0,5033;0,0814;0,2411;0,2621;0,9232;1,0022;;3,0347;5,7363;0,3356;0,6525;6,0801;212;212/A/NBP/2022;
